ElementName	DataType	Size	Required	ElementDescription	ValueRange	Notes	Aliases
panss2_dis	Integer	N/A	Recommended	Conceptual Disorganization	1::7	1= Absent; 2= Minimal; 3= Mild; 4= Moderate; 5= Moderate/Severe; 6= Severe; 7= Extreme	N/A
panss_complete	Integer	N/A	Recommended	Completed the PANSS form?	0 :: 2	0=Incomplete; 1=Unverified; 2=Complete	N/A
panss_nepal08	Integer	N/A	Recommended	"In the specified time	 have you (or your relative) been acting as if you have special powers/abilities	 or are a great person in society?"	0 :: 4	0= Not At All; 1= Once; 2= Few Times; 3= Often; 4= Continuously	N/A
panss_nepal09	Integer	N/A	Recommended	"In the specified time	 have you (or your relative) felt that people wanted to hurt you (by poisoning food or water)	 people were talking about you	 broadcasts on the radio or TV were about you	 that others were trying to control you	 but other people do not believe you?"	0 :: 4	0= Not At All; 1= Once; 2= Few Times; 3= Often; 4= Continuously	N/A
panss_nepal10	Integer	N/A	Recommended	"In the specified time	 have you (or your relative) felt angry often	 had thoughts of wanting to hurt people	 or threatened other people with violence?"	0 :: 4	0= Not At All; 1= Once; 2= Few Times; 3= Often; 4= Continuously	N/A
panss_nepal11	Integer	N/A	Recommended	"In the specified time	 have you (or your relative) heard from other people that you look distant	 unengaged?"	0 :: 4	0= Not At All; 1= Once; 2= Few Times; 3= Often; 4= Continuously	N/A
panss_nepal12	Integer	N/A	Recommended	"In the specified time	 have you (or your relative) felt like you didn?t feel the same way as people around you (e.g. you were not happy at times when they were happy	 or you were not sad at times when they were sad?"	0 :: 4	0= Not At All; 1= Once; 2= Few Times; 3= Often; 4= Continuously	N/A
panss_nepal13	Integer	N/A	Recommended	"In the specified time	 have you (or your relative) found it difficult to make friends and maintain old friendships	 OR do you find it difficult to make small talk with people?"	0 :: 4	0= Not At All; 1= Once; 2= Few Times; 3= Often; 4= Continuously	N/A
panss_nepal14	Integer	N/A	Recommended	"In the specified time	 have you (or your relative) had a lack of interest in doing things with other people?"	0 :: 4	0= Not At All; 1= Once; 2= Few Times; 3= Often; 4= Continuously	N/A
panss_nepal15	Integer	N/A	Recommended	"In the specified time	 have you (or your relative) had difficulty understanding familiar sayings	 or learning new ideas?"	0 :: 4	0= Not At All; 1= Once; 2= Few Times; 3= Often; 4= Continuously	N/A
panss_nepal16	Integer	N/A	Recommended	"In the specified time	 have you (or your relative) been speaking rarely or responded with only yes	 no	 I do not know to questions?"	0 :: 4	0= Not At All; 1= Once; 2= Few Times; 3= Often; 4= Continuously	N/A
panss_nepal17	Integer	N/A	Recommended	"In the specified time	 have you (or your relative) been thinking and talking about the same thing over and over?"	0 :: 4	0= Not At All; 1= Once; 2= Few Times; 3= Often; 4= Continuously	N/A
panss_nepal01	Integer	N/A	Recommended	Have you ever had periods where you heard voices of someone or people whom others could not see or hear?	0;1	0= No; 1= Yes	N/A
panss_nepal02	Integer	N/A	Recommended	Have you ever felt that someone was trying to hurt you or follow you but others kept telling you that no one was there or no one was trying to hurt you?	0;1	0= No; 1= Yes	N/A
panss_nepal03	Integer	N/A	Recommended	"Have you ever had periods where you behaved in a way that did not make sense to others or scared others	 for example	 not eating or dressing appropriately	 wandering around for no reason	 jumping in the bush	 or threatening others even though you did not have a quarrel with them?"	0;1	0= No; 1= Yes	N/A
panss_nepal04	Integer	N/A	Recommended	"In the specified time	 did you (or your relative) feel implausible things were happening to you	 such as having some kind of physical illness or that your organs were decaying (no issue during medical checks)	 or feeling that you had insects or electricity crawling inside of you?"	0 :: 4	0= Not At All; 1= Once; 2= Few Times; 3= Often; 4= Continuously	N/A
panss_nepal05	Integer	N/A	Recommended	"In the specified time	 did you (or your relative) speak about things and ideas that other people did not understand?"	0 :: 4	0= Not At All; 1= Once; 2= Few Times; 3= Often; 4= Continuously	N/A
panss_nepal06	Integer	N/A	Recommended	"In the specified time	 did you (or your relative) hear voices that other people did not hear or voices telling you to do things even when other people were not around or did you see things that other people said they could not see?"	0 :: 4	0= Not At All; 1= Once; 2= Few Times; 3= Often; 4= Continuously	N/A
panss_nepal07	Integer	N/A	Recommended	"In the specified time	 have you (or your relative) felt happy and energetic for no reason?"	0 :: 4	0= Not At All; 1= Once; 2= Few Times; 3= Often; 4= Continuously	N/A
panss_six_total	Integer	N/A	Recommended	PANSS-6 Total Score	0::42;-9; -2; -5; -8	"Sum of pos_p1	 pos_p2	 pos_p3	 neg_n1	 neg_n4	 neg_n6; -9 = Missing; -2 = Not collected at this time point; -5 = Item/Instrument not collected; -8 = Unknown"	N/A
timepoint_label	String	50	Recommended	Timepoint/visit label	N/A	N/A	N/A
subjectkey	GUID	N/A	Required	The NDAR Global Unique Identifier (GUID) for research subject	NDAR*	N/A	N/A
src_subject_id	String	20	Required	Subject ID how it's defined in lab/project	N/A	N/A	"aid	stepid"
interview_date	Date	N/A	Required	Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY	N/A	N/A	N/A
interview_age	Integer	N/A	Required	Age in months at the time of the interview/test/sampling/imaging.	0::1440	"Age is rounded to chronological month. If the research participant is 15-days-old at time of interview	 the appropriate value would be 0 months. If the participant is 16-days-old	 the value would be 1 month."	N/A
sex	String	20	Required	Sex of subject at birth	M;F; O; NR	M = Male; F = Female; O=Other; NR = Not reported	gender
dayscons	Integer	N/A	Recommended	days since consent	N/A	N/A	daysrz
visit	String	60	Recommended	Visit name	N/A	N/A	wave
certcode	Integer	N/A	Recommended	stepbd certification code	N/A	N/A	N/A
panicfrq	Integer	N/A	Recommended	Frequency of panic attacks	0::4;-7;999	0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme; -7=Refused; 999 = Missing	pdss1
panicdis	Integer	N/A	Recommended	Distress durng panic attack	0::4;-7;999	0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme; -7=Refused; 999 = Missing	pdss2
anticanx	Integer	N/A	Recommended	Anticipatory anxiety	0::4;-7;999	0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme; -7=Refused; 999 = Missing	pdss3
panicsit	Integer	N/A	Recommended	Panic-related phobic avoidance of particular situations	0::4;-7;999	0=None; 1=Definite fear or discomfort and desire to avoid at least one situation; 2=Definite fear or discomfort and desire to avoid up to three situations; 3=Definite fear or discomfort and desire to avoid more than three situations; 4=Definite fear and avoidance of several situations; -7=Refused; 999 = Missing	pdss4
panicsen	Integer	N/A	Recommended	Panic-related phobic avoidance of sensation	0::4;-7;999	0=None; 1=Definite discomfort with one or more physical sensations; 2=Definite discomfort with desire to avoid fully experiencing more than one sensationl 3=Definite discomfort/consistently avoids at least one activity; 4=Definite discomfort/consistently avoids more than one activity; -7=Refused; 999 = Missing	pdss5
imprwork	Integer	N/A	Recommended	Impairment / Interference in work functioning	0::4;-7;999	0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme; -7=Refused; 999 = Missing	pdss6
imprsocl	Integer	N/A	Recommended	Impairment / Interference in social functioning	0::4;-7;999	0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme; -7=Refused; 999 = Missing	pdss7
site	String	101	Recommended	Site	N/A	Study Site	"asite	siteid"
clinicid	Integer	N/A	Recommended	Clinic ID	N/A	N/A	aclinic
interv	Integer	N/A	Recommended	Intervention Status	0;1	"1=ITV	 intervention; 0=TAU	 treatment as usual"	N/A
days_baseline	Integer	N/A	Recommended	Days since baseline	N/A	N/A	lof
pdss	Float	N/A	Required	Sum of Panic Disorder Severity Scale - Self Report (PDSS)	N/A	999 = Not Applicable/Not Calculated	N/A
ipdss	Float	N/A	Recommended	Imputed of Panic Disorder Severity Scale - Self Report (PDSS)	N/A	N/A	N/A
rmtmpdss	Integer	N/A	Recommended	Change Score PDSS	0;1	1: less than 7	N/A
r40mpdss	Integer	N/A	Recommended	40 percent or more reduction from PDSS	0;1	(IF (MOSTDISTRESSING_AD=1) THEN DO; IF (PDSSt2 >.) THEN RMTMPDSSt2=0; IF (. < PDSSt2 <= 7) THEN RMTMPDSSt2=1; R40MPDSSt2=0; IF (RMTMPDSSt2=1) THEN R40MPDSSt2=1; ELSE IF (PDSSt2 <= (0.60 * PDSSt1)) THEN R40MPDSSt2=1; END; END;) 	N/A
pdss_01	Integer	N/A	Recommended	How many panic and limited symptoms attacks did you have during the week?	0::4	"0= No panic or limited symptom episodes; 1= Mild	 no full panic attacks and no more than 1 limited symptom attack/day; 2= Moderate	 1 or 2 full panic attacks and/or multiple limited symptom attacks/day; 3= Severe	 more than 2 full attacks but not more than 1/day on average; 4= Extreme	 full panic attacks occurred more than once a day	 more days than not"	N/A
pdss_02	Integer	N/A	Recommended	"If you had any panic attacks during the past week	 how distressing (uncomfortable	 frightening) were they while they were happening? (If you had more than one	 give an average rating. If you did not have any panic attacks but did have limited symptom attacks	 answer for the limited symptom attacks.)"	0::4	"0= Not at all distressing	 or no panic or limited symptom attacks during the past week; 1= Mildly distressing (not too intense); 2= Moderately distressing (intense	 but still manageable); 3= Severely distressing (very intense); 4 Extremely distressing (extreme distress during all attacks)"	N/A
pdss_03	Integer	N/A	Recommended	"During the past week	 how much have you worried or felt anxious about when your next panic attack would occur or about fears related to the attacks (for example	 that they could mean you have physical or mental health problems or could cause you social embarrassment)?"	0::4	0= Not at all; 1= Occasionally or only mildly; 2= Frequently or moderately; 3= Very often or to a very disturbing degree; 4= Nearly constantly and to a disabling extent	N/A
pdss_04	Integer	N/A	Recommended	"During the past week were there any places or situations (e.g.	 public transportation	 movie theaters	 crowds	 bridges	 tunnels	 shopping malls	 being alone) you avoided	 or felt afraid of (uncomfortable in	 wanted to avoid or leave)	 because of fear of having a panic attack? Are there any other situations that you would have avoided or been afraid of if they had come up during the week	 for the same reason? If yes to either question	 please rate your level of fear and avoidance this past week."	0::4	"0= None	 no fear or avoidance; 1= Mild	 occasional fear and/or avoidance but I could usually confront or endure the situation. There was little or no modification of my lifestyle due to this.; 2= Moderate	 noticeable fear and/or avoidance but still manageable. I avoided some situations	 but I could confront them with a companion. There was some modification of my lifestyle because of this	 but my overall functioning was not impaired.; 3= Severe	 extensive avoidance. Substantial modification of my lifestyle was required to accommodate the avoidance making it difficult to manage usual activities.; 4= Extreme	 pervasive disabling fear and/or avoidance. Extensive modification in my lifestyle was required such that important tasks were not performed."	N/A
pdss_05	Integer	N/A	Recommended	"During the past week	 were there any activities (e.g.	 physical exertion	 sexual relations	 taking a hot shower or bath	 drinking coffee	 watching an exciting or scary movie) that you avoided	 or felt afraid of (uncomfortable doing	 wanted to avoid or stop)	 because they caused physical sensations like those you feel during panic attacks or that you were afraid might trigger a panic attack? Are there any other activities that you would have avoided or been afraid of if they had come up during the week for that reason? If yes to either question	 please rate your level of fear and avoidance of those activities this past week."	0::4	"0= No fear or avoidance of situations or activities because of distressing physical sensations; 1= Mild	 occasional fear and/or avoidance	 but usually I could confront or endure with little distress activities that cause physical sensations. There was little modification of my lifestyle due to this.; 2= Moderate	 noticeable avoidance but still manageable. There was definite	 but limited	 modification of my lifestyle such that my overall functioning was not impaired.; 3= Severe	 extensive avoidance. There was substantial modification of my lifestyle or interference in my functioning.; 4= Extreme	 pervasive and disabling avoidance. There was extensive modification in my lifestyle due to this such that important tasks or activities were not performed."	N/A
pdss_06	Integer	N/A	Recommended	"During the past week	 how much did the above symptoms altogether (panic and limited symptom attacks	 worry about attacks	 and fear of situations and activities because of attacks) interfere with your ability to work or carry out your responsibilities at home? (If your work or home responsibilities were less than usual this past week	 answer how you think you would have done if the responsibilities had been usual.)"	0::4	"0= No interference with work or home responsibilities; 1= Slight interference with work or home responsibilities	 but I could do nearly everything I could if I did not have these problems.; 2= Significant interference with work or home responsibilities	 but I still could manage to do the things I needed to do.; 3= Substantial impairment in work or home responsibilities; there were many important things I could not do because of these problems.; 4= Extreme	 incapacitating impairment such that I was essentially unable to manage any work or home responsibilities."	N/A
pdss_07	Integer	N/A	Recommended	"During the past week	 how much did panic and limited symptom attacks	 worry about attacks and fear of situations and activities because of attacks interfere with your social life? (If you did not have many opportunities to socialize this past week	 answer how you think you would have done if you did have opportunities.)"	0::4	"0= No interference; 1= Slight interference with social activities	 but I could do nearly everything I could if I did not have these problems.; 2= Significant interference with social activities but I could manage to do most things if I made the effort.; 3= Substantial impairment in social activities; there are many social things I could not do because of these problems.; 4= Extreme	 incapacitating impairment	 such that there was hardly anything social I could do."	N/A
subjectkey	GUID	N/A	Required	The NDAR Global Unique Identifier (GUID) for research subject	NDAR*	N/A	guid
src_subject_id	String	20	Required	Subject ID how it's defined in lab/project	N/A	N/A	subject_id
interview_date	Date	N/A	Required	Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY	N/A	N/A	intvdate
interview_age	Integer	N/A	Required	Age in months at the time of the interview/test/sampling/imaging.	0::1440	"Age is rounded to chronological month. If the research participant is 15-days-old at time of interview	 the appropriate value would be 0 months. If the participant is 16-days-old	 the value would be 1 month."	intvage
sex	String	20	Required	Sex of subject at birth	M;F; O; NR	M = Male; F = Female; O=Other; NR = Not reported	gender
visit	String	60	Recommended	Visit name	N/A	N/A	N/A
site	String	101	Recommended	Site	N/A	Study Site	N/A
completed	Integer	N/A	Recommended	Checks if completed	0::3	"0=No; 1=Yes; 2=Yes	 lost; 3=Unverified"	N/A
comp_assess	Integer	N/A	Recommended	Please indicated when assessment completed	1;2;-9	1=Pre-infusion; 2=Post-infusion; -9=Unknown	N/A
poms001	Integer	N/A	Recommended	Friendly	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms002	Integer	N/A	Recommended	Tense	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms003	Integer	N/A	Recommended	Angry	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms004	Integer	N/A	Recommended	Worn out	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms005	Integer	N/A	Recommended	Unhappy	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms006	Integer	N/A	Recommended	Clear-headed	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms007	Integer	N/A	Recommended	Lively	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms008	Integer	N/A	Recommended	Confused	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms009	Integer	N/A	Recommended	Sorry for things done	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms010	Integer	N/A	Recommended	Shaky	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms011	Integer	N/A	Recommended	Listless	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms012	Integer	N/A	Recommended	Peeved	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms013	Integer	N/A	Recommended	Considerate	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms014	Integer	N/A	Recommended	Sad	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms015	Integer	N/A	Recommended	Active	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms016	Integer	N/A	Recommended	On edge	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms017	Integer	N/A	Recommended	Grouchy	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms018	Integer	N/A	Recommended	Blue	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms019	Integer	N/A	Recommended	Energetic	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms020	Integer	N/A	Recommended	Panicky	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms021	Integer	N/A	Recommended	Hopeless	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms022	Integer	N/A	Recommended	Relaxed	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms023	Integer	N/A	Recommended	Unworthy	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms024	Integer	N/A	Recommended	Spiteful	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms025	Integer	N/A	Recommended	Sympathetic	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms026	Integer	N/A	Recommended	Uneasy	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms027	Integer	N/A	Recommended	Restless	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms028	Integer	N/A	Recommended	Unable to Concentrate	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms029	Integer	N/A	Recommended	Fatigued	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms030	Integer	N/A	Recommended	Helpful	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms031	Integer	N/A	Recommended	Annoyed	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms032	Integer	N/A	Recommended	Discouraged	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms033	Integer	N/A	Recommended	Resentful	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms034	Integer	N/A	Recommended	Nervous	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms035	Integer	N/A	Recommended	Lonely	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms036	Integer	N/A	Recommended	Miserable	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms037	Integer	N/A	Recommended	Muddled	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms038	Integer	N/A	Recommended	Felt cheerful	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms039	Integer	N/A	Recommended	Bitter	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms040	Integer	N/A	Recommended	Exhausted	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms041	Integer	N/A	Recommended	Anxious	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms042	Integer	N/A	Recommended	Ready to Fight	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms043	Integer	N/A	Recommended	Good Natured	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms044	Integer	N/A	Recommended	Gloomy	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms045	Integer	N/A	Recommended	Desperate	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms046	Integer	N/A	Recommended	Sluggish	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms047	Integer	N/A	Recommended	Rebellious	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms048	Integer	N/A	Recommended	Helpless	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms049	Integer	N/A	Recommended	Weary	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms050	Integer	N/A	Recommended	Bewildered	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms051	Integer	N/A	Recommended	Alert	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms052	Integer	N/A	Recommended	Deceived	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms053	Integer	N/A	Recommended	Furious	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms054	Integer	N/A	Recommended	Efficient	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms055	Integer	N/A	Recommended	Trusting	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms056	Integer	N/A	Recommended	Full of Pep	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms057	Integer	N/A	Recommended	Bad-tempered	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms058	Integer	N/A	Recommended	Worthless	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms059	Integer	N/A	Recommended	Forgetful	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms060	Integer	N/A	Recommended	Carefree	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms061	Integer	N/A	Recommended	Terrified	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms062	Integer	N/A	Recommended	Guilty	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms063	Integer	N/A	Recommended	Vigorous	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms064	Integer	N/A	Recommended	Uncertain about things	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms065	Integer	N/A	Recommended	Bushed	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	N/A
poms066	Integer	N/A	Required	Tension sub-score	N/A	-9=Unknown	N/A
poms067	Integer	N/A	Required	Depression sub-score	N/A	-9=Unknown	N/A
poms068	Integer	N/A	Required	Anger sub-score	N/A	-9=Unknown	N/A
poms069	Integer	N/A	Required	Fatigue sub-score	N/A	-9=Unknown	N/A
poms070	Integer	N/A	Required	Confusion sub-score	N/A	-9=Unknown	N/A
poms071	Integer	N/A	Required	Vigour sub-score	N/A	-9=Unknown	N/A
poms072	Integer	N/A	Required	POMS Total score	N/A	-9=Unknown	N/A
timepoint_label	String	50	Recommended	Timepoint/visit label	N/A	N/A	N/A
anx8_1	Integer	N/A	Recommended	"W1:During the last 7 days	 I felt nervous"	0::4;99	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; 99=No data	N/A
anx9_1	Integer	N/A	Recommended	"W1:During the last 7 days	 I felt anxious"	0::4;99	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; 99=No data	N/A
anger1_1	Integer	N/A	Recommended	W1:To what extent have you felt the following in the last 7 days? Angry	0::4;99	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; 99=No data	N/A
anger2_1	Integer	N/A	Recommended	W1:To what extent have you felt the following in the last 7 days? Grouchy	0::4;99	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; 99=No data	N/A
anger3_1	Integer	N/A	Recommended	W1:To what extent have you felt the following in the last 7 days? Resentful	0::4;99	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; 99=No data	N/A
anxtotscore_1	Integer	N/A	Recommended	W1:Tension-Anxiety 9-item Total Score. Higher scores indicate higher levels of anxiety symptomatology	0::36;99	99=No data	N/A
angertotscore_1	Integer	N/A	Recommended	W1:Anger 3-item Total Score. Higher scores indicate higher levels of anger symptomatology	0::12;99	99=No data	N/A
anx1_1	Integer	N/A	Recommended	"W1:During the last 7 days	 I felt tense"	0::4;99	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; 99=No data	N/A
anx2_1	Integer	N/A	Recommended	"W1:During the last 7 days	 I felt shaky"	0::4;99	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; 99=No data	N/A
anx3_1	Integer	N/A	Recommended	"W1:During the last 7 days	 I felt on edge"	0::4;99	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; 99=No data	N/A
anx4_1	Integer	N/A	Recommended	"W1:During the last 7 days	 I felt panicky"	0::4;99	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; 99=No data	N/A
anx5_1	Integer	N/A	Recommended	"W1:During the last 7 days	 I felt relaxed"	0::4;99	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; 99=No data	N/A
anx6_1	Integer	N/A	Recommended	"W1:During the last 7 days	 I felt uneasy"	0::4;99	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; 99=No data	N/A
anx7_1	Integer	N/A	Recommended	"W1:During the last 7 days	 I felt restless"	0::4;99	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; 99=No data	N/A
subjectkey	GUID	N/A	Required	The NDAR Global Unique Identifier (GUID) for research subject	NDAR*	N/A	"pseduo_guids	pseudo_guids"
src_subject_id	String	20	Required	Subject ID how it's defined in lab/project	N/A	N/A	"clinical_barcode	hcpa_id	id	record_id	subject	subjectid"
interview_date	Date	N/A	Required	Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY	N/A	N/A	"bl_visit_date	chrpss_interview_date	draw_date	interview_date_perstr	interview_dt_t1	interview_dt_t2	interview_dt_t4	interviewyear	visit_date"
interview_age	Integer	N/A	Required	Age in months at the time of the interview/test/sampling/imaging.	0::1440	"Age is rounded to chronological month. If the research participant is 15-days-old at time of interview	 the appropriate value would be 0 months. If the participant is 16-days-old	 the value would be 1 month."	"age_t1_mos	age_t2_mos	age_t3_mos	age_t4_mos	ch_age"
