	ElementName	DataType	Size	Required	ElementDescription	ValueRange	Notes	Aliases
2336	interview_date	Date		Required	Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY			"consented_study	date_interview_ses	date_madrs	date_of_interview_contact	date_taken	interview_date_madrs	madrs_date	v10_madrs_date	v1_madrs_date	v2_madrs_date	v3_madrs_date	v4_madrs_date	v5_madrs_date	v6_madrs_date	v7_madrs_date	v8_madrs_date	v9_madrs_date	visit_date	z3"
2337	interview_age	Integer		Required	Age in months at the time of the interview/test/sampling/imaging.	0::1440	"Age is rounded to chronological month. If the research participant is 15-days-old at time of interview	 the appropriate value would be 0 months. If the participant is 16-days-old	 the value would be 1 month."	"age	age_m_consent	candidate_age_in_months	v10_madrs_age	v1_madrs_age	v2_madrs_age	v3_madrs_age	v4_madrs_age	v5_madrs_age	v6_madrs_age	v7_madrs_age	v8_madrs_age	v9_madrs_age	z4"
2338	sex	String	20.0	Required	Sex of subject at birth	M;F; O; NR	M = Male; F = Female; O=Other; NR = Not reported	"demo_1	gender	sex	z5"
2342	madrssad	Integer		Recommended	Reported sadness	0::6;-7; -9999	0=Occasionally sadness in keeping with the circumstances; 2=Sad or low but brightens up without difficulty; 4=Pervasive feelings of sadness or gloominess; 6=Continuous or unvarying sadness; -7=Refused; -9999=NK/NA/Missing	"madrs01	madrs_1	madrs_2	q2	v10_madrs_reportedsadness	v1_madrs_reportedsadness	v2_madrs_reportedsadness	v3_madrs_reportedsadness	v4_madrs_reportedsadness	v5_madrs_reportedsadness	v6_madrs_reportedsadness	v7_madrs_reportedsadness	v8_madrs_reportedsadness	v9_madrs_reportedsadness"
2343	madrspes	Integer		Recommended	Pessimistic thoughts	0::6;-7; -9999	0=No pessimistic thoughts; 2=Fluctuating ideas of failure/ self-reproach/ or self-deprecation; 4=Persistent self accusations or definite but still rational ideas; 6=Delusions of ruin/remorse/unredeemable sin; -7=Refused; -9999=NK/NA/Missing	"madrs02	madrs_9	q9	v10_madrs_pessimisticthoughts	v1_madrs_pessimisticthoughts	v2_madrs_pessimisticthoughts	v3_madrs_pessimisticthoughts	v4_madrs_pessimisticthoughts	v5_madrs_pessimisticthoughts	v6_madrs_pessimisticthoughts	v7_madrs_pessimisticthoughts	v8_madrs_pessimisticthoughts	v9_madrs_pessimisticthoughts"
2344	madrssui	Integer		Recommended	Suicidal thoughts	0::6;-7; -9999	0=Enjoys life or takes it as it comes; 2=Weary of life. Only fleeting suicidal thoughts; 4=Probably better off dead; 6=Explicit plans for suicide when there is an opportunity; -7=Refused; -9999=NK/NA/Missing	"madrs03	madrs_10	q10	v10_madrs_suicidalthoughts	v1_madrs_suicidalthoughts	v2_madrs_suicidalthoughts	v3_madrs_suicidalthoughts	v4_madrs_suicidalthoughts	v5_madrs_suicidalthoughts	v6_madrs_suicidalthoughts	v7_madrs_suicidalthoughts	v8_madrs_suicidalthoughts	v9_madrs_suicidalthoughts"
2345	madrsslp	Integer		Recommended	Reduced sleep	0::6;-7; -9999	0=Sleeps as usual; 2=Slight difficulty dropping off to sleep or slightly reduced; 4=Sleep reduced or broken by at least 2 hours; 6=Less than 2 or 3 hours of sleep; -7=Refused; -9999=NK/NA/Missing	"madrs04	madrs_4	q4	v10_madrs_reducedsleep	v1_madrs_reducedsleep	v2_madrs_reducedsleep	v3_madrs_reducedsleep	v4_madrs_reducedsleep	v5_madrs_reducedsleep	v6_madrs_reducedsleep	v7_madrs_reducedsleep	v8_madrs_reducedsleep	v9_madrs_reducedsleep"
2346	madrsfee	Integer		Recommended	Inability to feel	0::6;-7; -9999	0=Normal interest in the surroundings and in other people; 2=Reduced ability to enjoy usual interests; 4=Loss of interest in surroundings; 6=The experience of being emotionally paralyzed/inability to feel anger; -7=Refused; -9999=NK/NA/Missing	"madrs05	madrs_8	q8	v10_madrs_inabilitytofeel	v1_madrs_inabilitytofeel	v2_madrs_inabilitytofeel	v3_madrs_inabilitytofeel	v4_madrs_inabilitytofeel	v5_madrs_inabilitytofeel	v6_madrs_inabilitytofeel	v7_madrs_inabilitytofeel	v8_madrs_inabilitytofeel	v9_madrs_inabilitytofeel"
2347	madrslas	Integer		Recommended	Lassitude	0::6;-7; -9999	0=Hardly any difficulty getting started; 2=Difficulties starting activities; 4=Difficulties starting in simple routines which are carried out without effort; 6=Complete lassitude/unable to do anything without help; -7=Refused; -9999=NK/NA/Missing	"madrs06	madrs_7	q7	v10_madrs_lassitude	v1_madrs_lassitude	v2_madrs_lassitude	v3_madrs_lassitude	v4_madrs_lassitude	v5_madrs_lassitude	v6_madrs_lassitude	v7_madrs_lassitude	v8_madrs_lassitude	v9_madrs_lassitude"
2348	madrscon	Integer		Recommended	Concentration difficult	0::6;-7; -9999	0=No difficulties in concentrating; 2=Occasional difficulties in collecting ones thoughts; 4=Difficulties in concentrating and sustaining thought; 6=Unable to read or converse without great difficulty; -7=Refused; -9999=NK/NA/Missing	"madrs07	madrs_6	q6	v10_madrs_concentration	v1_madrs_concentration	v2_madrs_concentration	v3_madrs_concentration	v4_madrs_concentration	v5_madrs_concentration	v6_madrs_concentration	v7_madrs_concentration	v8_madrs_concentration	v9_madrs_concentration"
2349	madrsten	Integer		Recommended	Inner tension	0::6;-7; -9999	0=Placid; 2=Occasional feelings of edginess and illdefined discomfort; 4=Continuous feeling of inner tension or intermittent panic; 6=Unrelenting dread or anguish; -7=Refused; -9999=NK/NA/Missing	"madrs08	madrs_3	q3	v10_madrs_innertension	v1_madrs_innertension	v2_madrs_innertension	v3_madrs_innertension	v4_madrs_innertension	v5_madrs_innertension	v6_madrs_innertension	v7_madrs_innertension	v8_madrs_innertension	v9_madrs_innertension"
2350	madrsapp	Integer		Recommended	Reduced appetite	0::6;-7; -9999	0=Normal or increased appetite; 2=Slightly reduced appetite; 4=No appetite; 6=Needs persuasion to eat at all; -7=Refused; -9999=NK/NA/Missing	"madrs09	madrs_5	q5	v10_madrs_reducedappetite	v1_madrs_reducedappetite	v2_madrs_reducedappetite	v3_madrs_reducedappetite	v4_madrs_reducedappetite	v5_madrs_reducedappetite	v6_madrs_reducedappetite	v7_madrs_reducedappetite	v8_madrs_reducedappetite	v9_madrs_reducedappetite"
2351	madrsaps	Integer		Recommended	Apparent sadness	0::6;-7; -9999	0=No sadness; 2=Looks dispirited; 4=Appears sad and unhappy most of the time; 6=Looks miserable most of the time; -7=Refused; -9999=NK/NA/Missing	"madrs10	madrs_1	madrs_2	q1	v10_madrs_apparentsadness	v1_madrs_apparentsadness	v2_madrs_apparentsadness	v3_madrs_apparentsadness	v4_madrs_apparentsadness	v5_madrs_apparentsadness	v6_madrs_apparentsadness	v7_madrs_apparentsadness	v8_madrs_apparentsadness	v9_madrs_apparentsadness"
2354	madrstot	Integer		Recommended	MADRS Total Score			"madrs_total	total_madrs_score	v10_madrs_totalscore	v1_madrs_totalscore	v2_madrs_totalscore	v3_madrs_totalscore	v4_madrs_totalscore	v5_madrs_totalscore	v6_madrs_totalscore	v7_madrs_totalscore	v8_madrs_totalscore	v9_madrs_totalscore"
2355	completed	Integer		Recommended	Checks if completed	0::3	"0=No; 1=Yes; 2=Yes	 lost; 3=Unverified"	tstst
2358	version_form	String	121.0	Recommended	Form used/assessment name			form_name
2373	subjectkey	GUID		Required	The NDAR Global Unique Identifier (GUID) for research subject	NDAR*		ndar_masq
2374	src_subject_id	String	20.0	Required	Subject ID how it's defined in lab/project			
2375	interview_date	Date		Required	Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY			date_masq
2376	interview_age	Integer		Required	Age in months at the time of the interview/test/sampling/imaging.	0::1440	"Age is rounded to chronological month. If the research participant is 15-days-old at time of interview	 the appropriate value would be 0 months. If the participant is 16-days-old	 the value would be 1 month."	age_masq
2377	sex	String	20.0	Required	Sex of subject at birth	M;F; O; NR	M = Male; F = Female; O=Other; NR = Not reported	"gender	gender_masq"
2408	masq2_score_aa	Float		Required	Anxious Arousal		999=NA/missing/NK	"masq_anxaro	masq_d30_anx_arous	masq_d30_anx_arous�	masqd30_score_aa"
2409	masq2_score_ad	Float		Required	Anhedonic Depression		999=NA/missing/NK; for scoring items should be reverse scored	"masq_anhdep	masq_d30_anhed_depr	masqd30_score_ad"
2410	masq2_score_gd	Float		Required	General Distress Anxious Symptoms		999=NA/missing/NK	
2411	masq2_score_gdd	Float		Required	General Distress Depressive Symptoms		999=NA/missing/NK	
2447	version_form	String	121.0	Recommended	Form used/assessment name			
2464	poms029	Integer		Recommended	Fatigued	0::4;-9	0=Not at all; 1=A little; 2=Moderately; 3=Quite a bit; 4=Extremely; -9=Unknown	
2478	stai25	Integer		Recommended	Generally. I feel like a failure	1::4; 999	1 = Not at all so; 2 = Somewhat; 3 = Moderately so; 4 = Very much so; 999 = Prefer not to answer/Left blank	"failure_masq	masq21	masq90_q36	masq_q36_failure"
2497	respondent	String	20.0	Recommended	Respondent	Mother;Father;Parent;Guardian;Teacher;Child;Self;Caregiver;Partner;Other;NA	NA=Not Applicable	
2596	asc_1_a81f80	Integer		Recommended	At what age did you first have problems with anxiety that caused you significant distress or interfered with your day to day functioning?		"If left blank	 not applicable (no anxiety endorsed)"	
2597	asc_2_1d1e34	Float		Recommended	What proportion of the time (since onset) have you had problems with anxiety that caused you significant distress or interfered with your day to day functioning?		"Value is coded either as a percentage value (range 0::100) or a proportional value (0::1). if left blank	 not applicable (no anxiety endorsed)"	
2598	asc_chronicity_550f4f	Float		Recommended	Chronicity reflects the product of (years since onset) x (proportion of time with symptoms)		"If left blank	 not applicable (no anxiety endorsed)"	
2638	subjectkey	GUID		Required	The NDAR Global Unique Identifier (GUID) for research subject	NDAR*		
2639	src_subject_id	String	20.0	Required	Subject ID how it's defined in lab/project			
2640	interview_date	Date		Required	Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY			
2641	interview_age	Integer		Required	Age in months at the time of the interview/test/sampling/imaging.	0::1440	"Age is rounded to chronological month. If the research participant is 15-days-old at time of interview	 the appropriate value would be 0 months. If the participant is 16-days-old	 the value would be 1 month."	
2642	sex	String	20.0	Required	Sex of subject at birth	M;F; O; NR	M = Male; F = Female; O=Other; NR = Not reported	gender
2643	mcas1	Integer		Recommended	Physical Health - How impaired is the client by his/her physical most daily activities health status?	1::5;1000	1= Extreme health impairment; 2= Marked health impairment; 3= Moderate health impairment; 4= Slight health impairment; 5= No health impairment; 1000= Missing/Not Applicable	
2644	mcas2	Integer		Recommended	Intellectual Functioning -  What is the client's level of general intellectual functioning?	1::5;1000	1= IQ less than 60; 2= IQ in the 60s; 3= IQ in the 70s; 4= IQ in the 80s; 5= IQ in the 90s and above; 1000= Missing/Not Applicable	
2645	mcas3	Integer		Recommended	"Thought Processes / Psychosis - How impaired are the client's thought processes as evidenced by such symptoms as hallucinations	 delusions	 tangentiality	 loose associations	 response latencies	 ambivalence	 incoherence	 etc.?"	1::5;1000	"1= Extremely impaired thought processes; 2= Markedly impaired thought processes; 3= Moderately impaired thought processes; 4= Slightly impaired thought processes; 5= No impairment	 normal thought processes; 1000= Missing/Not Applicable"	
2646	mcas4	Integer		Recommended	"Mood Abnormality - How abnormal is the client's mood as evidenced by 2 = Markedly abnormal mood (Mania or marked such symptoms as constricted mood	 extreme mood irritability or severe depression) swings	 depression	 rage	 mania	 etc."	1::5;1000	"1= Extremely abnormal mood; 2= Markedly abnormal mood; 3= Moderately abnormal mood; 4= Slightly abnormal mood; 5= No impairment	 normal mood; 1000= Missing/Not Applicable"	
2647	mcas5	Integer		Recommended	"Response to Stress and Anxiety - How impaired is the client by inappropriate and/or paralysis	 resulting in the inability to adapt) dysfunctional responses to stress and anxiety?"	1::5;1000	1= Extremely impaired response; 2= Markedly impaired response; 3= Moderately impaired response; 4= Slightly impaired response; 5= Normal response; 1000= Missing/Not Applicable	
2648	mcas6	Integer		Recommended	Ability to Manage Money - How successfully does the client manage his/her money  and control expenditures?	1::5;1000	1= Almost never manages money successfully; 2= Seldom manages money successfully; 3= Sometimes manages money successfully; 4= Manages money successfully a fair amount of the time; 5= Almost always manages money successfully; 1000= Missing/Not Applicable	
2649	mcas7	Integer		Recommended	Independence in Daily Living - How well does the client perform independently in day-to-day living?	1::5;1000	1= Almost never performs independently; 2= Seldom performs independently; 3= Sometimes performs independently; 4= performs independently a fair amount of the time; 5= Almost always performs independently; 1000= Missing/Not Applicable	
2650	mcas8	Integer		Recommended	Acceptance of Illness - How well does the client accept (as opposed to deny) his/her psychiatric disability?	1::5;1000	1= Almost never accepts disability; 2= Seldom accepts disability; 3= Sometimes accepts disability; 4= accepts disability a fair amount of the time; 5= Almost always accepts disability; 1000= Missing/Not Applicable	
2651	mcas9	Integer		Recommended	"Social Acceptability - In general	 what are other people's reactions to the client?"	1::5;1000	"1= Very negative; 2= Fairly negative; 3= Mixed	 mildly negative to mildly positive; 4= Fairly positive; 5= Very positive; 1000= Missing/Not Applicable"	
2652	mcas10	Integer		Recommended	Social Interest - How frequently does the client initiate social contact or respond to others' initiation of social contact?	1::5;1000	1= Very infrequently; 2= Fairly infrequently; 3= Occasionally sometimes initiates and responds to social activities; 4= Fairly frequently; 5= Very frequently; 1000= Missing/Not Applicable	
2653	mcas11	Integer		Recommended	Social Effectiveness - How effectively does the client interact with others?	1::5;1000	1= Very ineffectively; 2= Ineffectively; 3= Mixed or dubious effectiveness; 4= Effectively; 5= Very effectively; 1000= Missing/Not Applicable	
2654	mcas12	Integer		Recommended	Social Network - How extensive is the client's social network?	1::5;1000	1= Very limited network; 2= Limited network; 3= Moderately extensive network; 4= Extensive network; 5= Very extensive network; 1000= Missing/Not Applicable	
2655	mcas13	Integer		Recommended	Meaningful Activity - How frequently is the client involved in meaningful activities that are satisfying to him or her?	1::5;1000	1= Almost never involved; 2= Seldom involved; 3= Sometimes involved; 4= Often involved; 5= Almost always involved; 1000= Missing/Not Applicable	
2656	mcas14	Integer		Recommended	Medication Compliance - How frequently does the client comply with his/her prescribed medication regimen?	1::5;1000	1= Almost never complies; 2= Seldom complies; 3= Sometimes complies; 4= Often complies; 5= Almost always complies; 1000= Missing/Not Applicable	
2657	mcas15	Integer		Recommended	"Cooperation with Treatment Providers - How frequently does the client cooperate as demonstrated by	 for example	 keeping appointments	 complying with treatment plans	 and following through on reasonable requests?"	1::5;1000	1= Almost never cooperates; 2= Seldom cooperates; 3= Sometimes cooperates; 4= Often cooperates; 5= Almost always cooperates; 1000= Missing/Not Applicable	
2658	mcas16	Integer		Recommended	Alcohol/Drug Abuse - How frequently does the client abuse drugs and/or alcohol?	1::5;1000	1= Frequently abuses; 2= Often abuses; 3= Sometimes abuses; 4= Infrequently abuses; 5= Almost never abuses; 1000= Missing/Not Applicable	
2659	mcas17	Integer		Recommended	Impulse Control - How frequently does the client exhibit episodes of extreme acting out?	1::5;1000	1= Frequently acts out; 2= Often acts out; 3= Sometimes acts out; 4= Infrequently acts out; 5= Almost never acts out; 1000= Missing/Not Applicable	
2660	mcas_total	Integer		Recommended	MCAS Total Score			
2664	subjectkey	GUID		Required	The NDAR Global Unique Identifier (GUID) for research subject	NDAR*		
2665	src_subject_id	String	20.0	Required	Subject ID how it's defined in lab/project			"participantid	record_id"
2666	interview_date	Date		Required	Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY			"bldatecomplete	fudatecomplete"
2667	interview_age	Integer		Required	Age in months at the time of the interview/test/sampling/imaging.	0::1440	"Age is rounded to chronological month. If the research participant is 15-days-old at time of interview	 the appropriate value would be 0 months. If the participant is 16-days-old	 the value would be 1 month."	age
2668	sex	String	20.0	Required	Sex of subject at birth	M;F; O; NR	M = Male; F = Female; O=Other; NR = Not reported	"gender	guid_sex"
2670	mspss_1	Integer		Recommended	Multidimensional Scale of Perceived Social Support (SO) 1. There is a special person who is around when I am in need.	1::7; 888; 999	1 = Very strongly disagree; 2 = Strongly disagree; 3 = Mildly disagree; 4 = Neutral; 5 = Mildly agree; 6 = Strongly agree; 7 = Very strongly agree; 888 = not applicable; 999 = missing	"mspss1	nlmpss_1"
2671	mspss_2	Integer		Recommended	Multidimensional Scale of Perceived Social Support (SO) 2. There is a special person with who I can share my joys and sorrows.	1::7; 888; 999	1 = Very strongly disagree; 2 = Strongly disagree; 3 = Mildly disagree; 4 = Neutral; 5 = Mildly agree; 6 = Strongly agree; 7 = Very strongly agree; 888 = not applicable; 999 = missing	"mspss2	nlmpss_2"
2672	mspss_3	Integer		Recommended	Multidimensional Scale of Perceived Social Support (Fam) 3. My family really tries to help me.	1::7; 888; 999	1 = Very strongly disagree; 2 = Strongly disagree; 3 = Mildly disagree; 4 = Neutral; 5 = Mildly agree; 6 = Strongly agree; 7 = Very strongly agree; 888 = not applicable; 999 = missing	"mspss3	nlmpss_3"
2673	mspss_4	Integer		Recommended	Multidimensional Scale of Perceived Social Support (Fam) 4. I get the emotional help and support I need from my family.	1::7; 888; 999	1 = Very strongly disagree; 2 = Strongly disagree; 3 = Mildly disagree; 4 = Neutral; 5 = Mildly agree; 6 = Strongly agree; 7 = Very strongly agree; 888 = not applicable; 999 = missing	"mspss4	nlmpss_4"
2674	mspss_5	Integer		Recommended	Multidimensional Scale of Perceived Social Support (SO) 5. I have a special person who is a real source of comfort to me.	1::7; 888; 999	1 = Very strongly disagree; 2 = Strongly disagree; 3 = Mildly disagree; 4 = Neutral; 5 = Mildly agree; 6 = Strongly agree; 7 = Very strongly agree; 888 = not applicable; 999 = missing	"mspss5	nlmpss_5"
2675	mspss_6	Integer		Recommended	Multidimensional Scale of Perceived Social Support (Fri) 6. My friends really try to help me.	1::7; 888; 999	1 = Very strongly disagree; 2 = Strongly disagree; 3 = Mildly disagree; 4 = Neutral; 5 = Mildly agree; 6 = Strongly agree; 7 = Very strongly agree; 888 = not applicable; 999 = missing	"mspss6	nlmpss_6"
2676	mspss_7	Integer		Recommended	Multidimensional Scale of Perceived Social Support (Fri) 7. I can count on my friends when things go wrong.	1::7; 888; 999	1 = Very strongly disagree; 2 = Strongly disagree; 3 = Mildly disagree; 4 = Neutral; 5 = Mildly agree; 6 = Strongly agree; 7 = Very strongly agree; 888 = not applicable; 999 = missing	"mspss7	nlmpss_7"
2677	mspss_8	Integer		Recommended	Multidimensional Scale of Perceived Social Support (Fam) 8. I can talk about my problems with my family.	1::7; 888; 999	1 = Very strongly disagree; 2 = Strongly disagree; 3 = Mildly disagree; 4 = Neutral; 5 = Mildly agree; 6 = Strongly agree; 7 = Very strongly agree; 888 = not applicable; 999 = missing	"mspss8	nlmpss_8"
2678	mspss_9	Integer		Recommended	Multidimensional Scale of Perceived Social Support (SO) 9. I have friends with whom I can share my joys and sorrows.	1::7; 888; 999	1 = Very strongly disagree; 2 = Strongly disagree; 3 = Mildly disagree; 4 = Neutral; 5 = Mildly agree; 6 = Strongly agree; 7 = Very strongly agree; 888 = not applicable; 999 = missing	"mspss9	nlmpss_9"
2679	mspss_10	Integer		Recommended	Multidimensional Scale of Perceived Social Support (Fam) 10. There is a special person in my life who cares about my feelings.	1::7; 888; 999	1 = Very strongly disagree; 2 = Strongly disagree; 3 = Mildly disagree; 4 = Neutral; 5 = Mildly agree; 6 = Strongly agree; 7 = Very strongly agree; 888 = not applicable; 999 = missing	"mspss10	nlmpss_10"
2680	mspss_11	Integer		Recommended	Multidimensional Scale of Perceived Social Support (Fam) 11. My family is willing to help me make decisions.	1::7; 888; 999	1 = Very strongly disagree; 2 = Strongly disagree; 3 = Mildly disagree; 4 = Neutral; 5 = Mildly agree; 6 = Strongly agree; 7 = Very strongly agree; 888 = not applicable; 999 = missing	"mspss11	nlmpss_11"
2681	mspss_12	Integer		Recommended	Multidimensional Scale of Perceived Social Support (Fri) 12. I can talk about my problems with my friends.	1::7; 888; 999	1 = Very strongly disagree; 2 = Strongly disagree; 3 = Mildly disagree; 4 = Neutral; 5 = Mildly agree; 6 = Strongly agree; 7 = Very strongly agree; 888 = not applicable; 999 = missing	"mspss12	nlmpss_12"
2682	mspss_fam	Float		Recommended	"Multidimensional Scale of Perceived Social Support - Family subscale total (3	 4	 8	 11)"		888 = not applicable; 999 = missing; Any missing individual value replaced with average for that subscale then added to subscale total.	mspss_family_support
2683	mspss_fri	Float		Recommended	"Multidimensional Scale of Perceived Social Support - Friends subscale total (6	 7	 9	 12)"		888 = not applicable; 999 = missing; Any missing individual value replaced with average for that subscale then added to subscale total.	"mspss_friend	mspss_friend_support"
2684	mspss_so	Float		Recommended	"Multidimensional Scale of Perceived Social Support - Significant other subscale total (1	 2	 5	 10)"		888 = not applicable; 999 = missing; Any missing individual value replaced with average for that subscale then added to subscale total.	mspss_sigother_support
2685	mspss_total	Float		Required	Multidimensional Scale of Perceived Social Support - Global perceived social support total		888 = not applicable; 999 = missing; Any missing individual value replaced with average for that subscale then added to subscale total.	mspss_total_support
2692	version_form	String	121.0	Recommended	Form used/assessment name			
2700	respondent	String	20.0	Recommended	Respondent	Mother;Father;Parent;Guardian;Teacher;Child;Self;Caregiver;Partner;Other;NA	NA=Not Applicable	
2715	qc_mspss_sig_other_num_items	Integer		Recommended	Quality Control (QC) MSPSS Significant Other subscale number of items			
2716	qc_mspss_sig_other_num_nonresp	Integer		Recommended	Quality Control (QC) MSPSS Significant Other subscale number of nonresponse items			
2717	qc_mspss_family_num_items	Integer		Recommended	Quality Control (QC) MSPSS Family subscale number of items			
2718	qc_mspss_family_num_nonresp	Integer		Recommended	Quality Control (QC) MSPSS Family subscale number of nonresponse items			
2719	asi_time_first_click	String	11.0	Recommended	Time at first click		HH:MM:SS AM/PM	
2720	asi_time_last_click	String	11.0	Recommended	Time at last click		HH:MM:SS AM/PM	
2721	asi_time_page_submit	String	11.0	Recommended	Time at scale submission		HH:MM:SS AM/PM	
2722	asi_time_click_count	Integer		Recommended	Number of clicks during scale completion			
2723	asi_tot_timing	Float		Recommended	Total time to complete scale		In minutes	
2724	pss_tot_num_items	Integer		Recommended	Total number of scale items			
2725	pss_tot_num_nonresp	Integer		Recommended	Total number of items not answered			
2760	subjectkey	GUID		Required	The NDAR Global Unique Identifier (GUID) for research subject	NDAR*		
2761	src_subject_id	String	20.0	Required	Subject ID how it's defined in lab/project			"hcpa_id	stepid	subject_id"
2762	interview_date	Date		Required	Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY			
2763	interview_age	Integer		Required	Age in months at the time of the interview/test/sampling/imaging.	0::1440	"Age is rounded to chronological month. If the research participant is 15-days-old at time of interview	 the appropriate value would be 0 months. If the participant is 16-days-old	 the value would be 1 month."	
2764	sex	String	20.0	Required	Sex of subject at birth	M;F; O; NR	M = Male; F = Female; O=Other; NR = Not reported	gender
2767	nffi_1	Integer		Recommended	I am not a worrier.	1::5;-7;999	1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -7=Refused; 999 = Prefer not to answer/Left blank	"neo2_01	neo_01	neo_ne1	neoffi_1	nffi00_1	nffi1_1	nffi2_1	worrier"
2768	nffi_2	Integer		Recommended	I like to have a lot of people around me.	1::5;-7;999	1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -7=Refused; 999 = Prefer not to answer/Left blank	"neo2_02	neo_02	neoffi_2	peopleme"
2769	nffi_3	Integer		Recommended	I don't like to waste my time daydreaming.	1::5;-7;999	5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused; 999 = Prefer not to answer/Left blank	"daydream	neo2_03	neo_03"
2770	nffi_4	Integer		Recommended	I try to be courteous to everyone I meet.	1::5;-7;999	1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -7=Refused; 999 = Prefer not to answer/Left blank	"crteous	neo2_04	neo_04	neoffi_4"
2771	nffi_5	Integer		Recommended	I keep my belongings clean and neat.	1::5;-7;999	1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -7=Refused; 999 = Prefer not to answer/Left blank	"cleaneat	neo2_05	neo_05	neoffi_5"
2772	nffi_6	Integer		Recommended	I often feel inferior to others.	1::5;-7;999	1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -7=Refused; 999 = Prefer not to answer/Left blank	"inferior	neo2_06	neo_06	neo_ne2	nffi00_2	nffi1_2	nffi2_2"
2773	nffi_7	Integer		Recommended	I laugh easily.	1::5;-7;999	1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -7=Refused; 999 = Prefer not to answer/Left blank	"laugh	neo2_07	neo_07	neoffi_7"
2774	nffi_8	Integer		Recommended	"OnceI find the right way to do something	 I stick to It."	1::5;-7;999	5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused; 999 = Prefer not to answer/Left blank	"neo2_08	neo_08	rightway"
2775	nffi_9	Integer		Recommended	I often getInto arguments with my family and co-workers.	1::5;-7;999	5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused; 999 = Prefer not to answer/Left blank	"argument	neo2_9a	neo_09"
2776	nffi_10	Integer		Recommended	I'm pretty good about pacing myself so as to get things done on time.	1::5;-7;999	1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -7=Refused; 999 = Prefer not to answer/Left blank	"neo2_10	neo_10	neoffi_10	pace"
2777	nffi_11	Integer		Recommended	"When I'm under a great deal of stress	 sometimesI feel likeI'm going to pieces."	1::5;-7;999	1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -7=Refused; 999 = Prefer not to answer/Left blank	"neo2_11	neo_11	neo_ne3	neoffi_11	nffi00_3	nffi1_3	nffi2_3	stress"
2778	nffi_12	Integer		Recommended	"I don't consider myself especially ""light-hearted""."	1::5;-7;999	5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused; 999 = Prefer not to answer/Left blank	"lighthrt	neo2_12	neo_12"
2779	nffi_13	Integer		Recommended	I amIntrigued by the patternsI findIn art and nature.	1::5;-7;999	1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -7=Refused; 999 = Prefer not to answer/Left blank	"artnture	neo2_13	neo_13	neoffi_13"
2780	nffi_14	Integer		Recommended	Some people thinkI'm selfish and egotistical.	1::5;-7;999	5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused; 999 = Prefer not to answer/Left blank	"neo2_14	neo_14	neoffi_14	selfish"
2781	nffi_15	Integer		Recommended	I am not a very methodical person.	1::5;-7;999	1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -7=Refused; 999 = Prefer not to answer/Left blank	"methdcal	neo2_15	neo_15"
2782	nffi_16	Integer		Recommended	I rarely feel lonely or blue.	1::5;-7;999	5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused; 999 = Prefer not to answer/Left blank	"feelblue	neo2_16	neo_16	neo_ne4	neoffi_16	nffi00_4	nffi1_4	nffi2_4"
2783	nffi_17	Integer		Recommended	I really enjoy talking to people.	1::5;-7;999	1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -7=Refused; 999 = Prefer not to answer/Left blank	"enjytalk	neo2_17	neo_17	neoffi_17"
2784	nffi_18	Integer		Recommended	I believe letting students hear controversial speakers can only confuse and mislead them.	1::5;-7;999	5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused; 999 = Prefer not to answer/Left blank	"mislead	neo2_18	neo_18	neoffi_18"
